id,title,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,variety,winery
179,La Chablisienne 2006 Les Vénérables Vieilles Vignes,France,"The impact of 50-year old vines is seen in the concentrated fruit, ripe and full,  in this wine. The flavors are of fresh apricots, edged with green apples and pink grapefruit, a combination that shows both richness and great freshness. The finish is a reminder of the fine acidity in 2006.",Les Vénérables Vieilles Vignes,88,27.0,Burgundy,Chablis,,Roger Voss,@vossroger,Chardonnay,La Chablisienne
180,Manzoni 2006 Lucia Highland Vineyard Chardonnay,US,"This is a strong, oaky Chardonnay. It's crisp in acidity and forward in pineapple jam, lemon custard and vanilla meringue flavors. If you like the ripe, California style, it's for you.",Lucia Highland Vineyard,88,23.0,California,Santa Lucia Highlands,Central Coast,,,Chardonnay,Manzoni
181,McIntyre Vineyards 2006 Mission Ranch Pinot Noir,US,"Crisp, coastal acidity dominates this wine, making it mouth-wateringly tart. May be too much for some folks, but it's quite elegant, with good cherry, black raspberry and cola flavors enriched with a touch of smoky oak.",Mission Ranch,88,36.0,California,Arroyo Seco,Central Coast,,,Pinot Noir,McIntyre Vineyards
182,Abbadia Ardenga 2003 M. Vigna,Italy,"Loaded with bold, ripe fruit, exotic spice and leather, this is a simple but genuine expression of Brunello di Montalcino. The wine tastes thick and a bit chunky in the mouth because of its chewy, succulent tannins.",M. Vigna,88,,Tuscany,Brunello di Montalcino,,,,Sangiovese Grosso,Abbadia Ardenga
183,Alamos 2007 Torrontés,Argentina,"With attractive melon and other tropical aromas, this is a Torrontés that rises above the masses. It smells great and tastes like a pure blend of lychee fruit, tangerine and honeydew melon. The palate feel is smooth and round, and the finish is dry, clean and healthy. It's everything that Torrontés should be. Drink now.",,88,12.0,Other,Salta,,Michael Schachner,@wineschach,Torrontés,Alamos
184,Anaba 2007 Chardonnay,US,"This is a typical Sonoma Coast Chard in the bright acidity that firms up the ripe, long hangtime flavors. Pineapples, pears, peaches, nectarines and subtle papaya notes are joined with buttercream and cinnamon spices. Drink now.",,88,35.0,California,Sonoma Coast,Sonoma,,,Chardonnay,Anaba
185,Apaltagua 2007 Envero Gran Reserva Carmenère,Chile,"Composed and structured, with its fair share of richness manifested as raisin and molasses. Interestingly, the palate rings with acidity, resulting in a feel that's borderline sharp. But there's enough fruit and heft to balance things out, and the flavors of cherry, blackberry and cola are nice. A good example of elevated Carmenère (with 10% Cabernet Sauvignon) that doesn't cost an arm and a leg.",Envero Gran Reserva,88,15.0,Colchagua Valley,,,Michael Schachner,@wineschach,Carmenère,Apaltagua
186,Harrington 2006 Wiley Vineyard Pinot Noir,US,"This is a very rich Pinot whose primary virtue is fruit. It just explodes with delicious cherry jam, red currant, licorice and mocha flavors. Dry and crisply acidic, it's a beautiful wine for early drinking.",Wiley Vineyard,88,40.0,California,Anderson Valley,,,,Pinot Noir,Harrington
187,Abbazia Santa Anastasia 2003 Montenero Red,Italy,"This is a luminous, mature red wine with thick concentration and huge—almost too much—emphasis on toasted oak. Aromas recall vanilla, spice and coffee, although you will find blueberry and cherry on the finish: It is a blend of Nero d'Avola, Cabernet Sauvignon and Merlot.",Montenero,88,48.0,Sicily & Sardinia,Sicilia,,,,Red Blend,Abbazia Santa Anastasia
188,Viña Bisquertt 2007 Casa La Joya Reserve Merlot,Chile,"Bisquertt usually does well with its value-priced Merlots, and seeing that 2007 was an excellent vintage in Chile, this wine excels in the value price range. The nose is dark and saturated, but pure and inviting. And the palate is ripe and smooth, with spice, plum, blackberry and herb notes, particularly anise. Finishes clean, smooth and peppery. Drink now.",Casa La Joya Reserve,88,11.0,Colchagua Valley,,,Michael Schachner,@wineschach,Merlot,Viña Bisquertt
189,Emiliana 2008 Natura Chardonnay,Chile,"Clean and honest up front, with moderate richness and modest telltale Casablanca pineapple aromas. The plate is creamier than many wines in this price range, with flavors of apple cider, citrus and some pith. Overall this is a good value wine with enough citrus and acidity to qualify it as fresh.",Natura,87,11.0,Casablanca Valley,,,Michael Schachner,@wineschach,Chardonnay,Emiliana
190,Fattoria Alois 2007 Campole Red,Italy,"Chocolate, espresso, plum and black currant are backed by smoky nuances and natural rubber. This muscular wine offers polished tannins and firm structure to the end. A bit of wine from the 2005 and 2006 vintages is blended in.",Campole,87,26.0,Southern Italy,Campania,,,,Red Blend,Fattoria Alois
191,Henry's Drive Vignerons 2006 The Trial of John Montford Cabernet Sauvignon,Australia,"From the little-known region of Padthaway, this Cabernet starts off with some very promising, perfumed aromas of mint and cassis, but then shows touches of chocolate and raisined fruit on the palate. It's soft and mouthfilling—an easy-drinking Cab to consume on the young side.",The Trial of John Montford,87,30.0,South Australia,Padthaway,,Joe Czerwinski,@JoeCz,Cabernet Sauvignon,Henry's Drive Vignerons
192,Aldegheri 2003 Le Pietre Santambrogio Red,Italy,"Here's an interesting blend of Corvina, Cabernet Sauvignon and Rondinella that reflects the aromas and power of each grape variety. The wine offers mature notes of cherry, clove, blackberry and cola: It tastes slightly sweet and very succulent.",Le Pietre Santambrogio,87,20.0,Veneto,Rosso del Veronese,,,,Red Blend,Aldegheri
193,Bertrand Ambroise 2006  St.-Romain,France,"A citrus-dominated wine, lime and lemon giving a crisp intensity. There is a somewhat bitter toast element, but the acidity, the fresh fruits and the soft structure act as a counter-balance. Give it six months to a year. Screwcap.",,87,35.0,Burgundy,St.-Romain,,Roger Voss,@vossroger,Chardonnay,Bertrand Ambroise
194,Campomaggio 2005  Chianti Classico,Italy,"Here's a traditional Chianti Classico with pretty aromas of cherry cola, mesquite, almonds and violets. The wine is compact and elegant in the mouth and offers crisp berry flavors on the close.",,87,,Tuscany,Chianti Classico,,,,Sangiovese,Campomaggio
195,Carpineto 2003 Riserva,Italy,"This is a mature, jammy wine with thick layers of plum, prune and raisin. The wine's appearance is dark and concentrated and that same sensation of heaviness carries over the palate in the form of black currant and spice. The tannins are firm and tart.",Riserva,87,35.0,Tuscany,Vino Nobile di Montepulciano,,,,Prugnolo Gentile,Carpineto
196,Cesani 2007 Pancole,Italy,"Pancole is a pretty expression of Tuscany's popular Vernaccia di San Gimignano with a luminous, bright appearance and pristine aromas of stone and passion fruits. The wine is lean and tonic with spicy notes on the finish.",Pancole,87,18.0,Tuscany,Vernaccia di San Gimignano,,,,Vernaccia,Cesani
197,Spier 2014 21 Gables Chenin Blanc,South Africa,"This is a concentrated, fairly full and lush Chenin, rich in toasty oak and vanilla cream as well as notes of baked apple pie and sweet orange. The medium-weight palate is mouthfilling and satisfying, with ample acidity to lift the decadent flavors. Notes of clove, anise and toasted nuts mingle on the lingering finish. Drink now–2019.",21 Gables,90,23.0,Western Cape,,,Lauren Buzzeo,@laurbuzz,Chenin Blanc,Spier
198,Sequum 2013 Four Soil Mélange Cabernet Sauvignon,US,"This is a soft, well-crafted wine from the eastern side of St. Helena that's both classic in its dried herb, tobacco and tea aromas and fruity with red currant and cranberry notes.",Four Soil Mélange,90,60.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Cabernet Sauvignon,Sequum
199,Sierra Starr 2014 Rising Starr Estate Bottled Cabernet Franc,US,"This is a beatifully balanced, not-too-full-bodied wine from vines grown at 2,400 feet in the Sierra range. It has classic black cherry, black olive and anise aromas, harmonious fruit flavors accented with light oak spiciness and a firm, fine-grained tannic structure.",Rising Starr Estate Bottled,90,28.0,California,Nevada County,Sierra Foothills,Jim Gordon,@gordone_cellars,Cabernet Franc,Sierra Starr
200,Tenuta di Sesta 2011 Riserva,Italy,"Aromas of mature black-skinned berry, tobacco and dark spice lead the way. The rounded palate offers dried cherry, raspberry, coffee and a licorice note alongside velvety if not very persistent tannins. Showing the heat of the vintage, this is evolving quickly so enjoy over the next several years.",Riserva,90,,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Sangiovese,Tenuta di Sesta
201,Terlan 2014 Nova Domus Riserva White,Italy,"Made with 60% Pinot Bianco, 30% Chardonnay and 10% Sauvignon Blanc, this boasts appealing aromas of acacia flower, nectarine and Alpine herb. The elegant palate delivers juicy Gala apple, yellow peach and a touch of ginger alongside fresh acidity.",Nova Domus Riserva,90,62.0,Northeastern Italy,Alto Adige,,Kerin O’Keefe,@kerinokeefe,White Blend,Terlan
202,Yatir 2011 Syrah,Israel,"This wine features pleasing aromas of raspberry, jumper berry and black pepper. There is a nice mélange of fruit and spice flavors, notably black cherry, dark plums, anise, and cardamom. Smooth tannins ply the palate right into a bright finish that bears a touch of salinity.",,90,50.0,Judean Hills,,,Mike DeSimone,@worldwineguys,Syrah,Yatir
203,Adega Cooperativa de Borba 2012 Montes Claros Garrafeira Red,Portugal,"A year in wood and 30 months in bottle before release have allowed this attractive wine to fully develop its solid yet smooth texture. It has concentration, layers of bright black currant fruit and vibrant acidity. Ready to drink.",Montes Claros Garrafeira,90,28.0,Alentejo,,,Roger Voss,@vossroger,Portuguese Red,Adega Cooperativa de Borba
204,J. Lohr 2014 Gesture G-S-M,US,"This bottling belongs to a series of wines from the legendary Jerry Lohr emphasizing Rhône varieties. It shows candied blackberry, violets and potpourri on the fruity, flowery and inviting nose. The palate leads with savory black pepper, which accents its core of black plum, blackberry and purple flower flavors.",Gesture,90,30.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,G-S-M,J. Lohr
205,J. Lohr 2015 October Night Chardonnay,US,"Rich honeysuckle, marzipan and oak aromas meet bright lemongrass on the nose of this bottling, showing both the fresh and oxidative sides of the grape. Smoked chicken and brioche notes are prominent on the palate, leading to a tangy, botanical, juniper-laced finish.",October Night,90,25.0,California,Arroyo Seco,Central Coast,Matt Kettmann,@mattkettmann,Chardonnay,J. Lohr
206,Courtney Benham 2014 Cabernet Sauvignon,US,"This is an extraordiary deal for a solidly built, high-level wine. It offers succulent cherry, raspberry and vanilla flavors, wrapped in approachable, mellowed tannin and oak.",,90,25.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Cabernet Sauvignon,Courtney Benham
207,Del Carlo Winery 2014 Home Ranch Teldeschi Vineyards Century Old Vine Zinfandel,US,"Juicy and austere in understated waves of cranberry and cherry fruit, this wine delivers subtle power and intensity in a leathery-textured package. True to its old vine heritage, it shows a dry dustiness of peppery spice.",Home Ranch Teldeschi Vineyards Century Old Vine,90,32.0,California,Dry Creek Valley,Sonoma,Virginie Boone,@vboone,Zinfandel,Del Carlo Winery
208,Delaire Graff 2013 Reserve White,South Africa,"A stony, flinty character leads the nose of this blend of 54% Sauvignon Blanc and 46% Sémillon, followed by scents of ripe peach, nectarine, freshly dried grass and herbs. The medium-weight palate offers more clean fruit flavors that result in a smooth, slightly creamy mouthfeel. Ample acidity lends freshness to the finish, alongside a lingering yellow flower character. Drink now–2019.",Reserve,90,40.0,Coastal Region,,,Lauren Buzzeo,@laurbuzz,White Blend,Delaire Graff
209,Domaine St Pierre 2014 Red,France,"Intriguing, thought provoking and complex, this wine starts off with perfumed aromas of thyme, bay leaf and lavender. It's supple in the mouth and silky in feel, imbued with black cherry and blueberry fruit, then shows a hint of adhesive bandage on the finish. Drink now.",,90,16.0,Rhône Valley,Côtes du Rhône,,Joe Czerwinski,@JoeCz,Rhône-style Red Blend,Domaine St Pierre
210,Eikendal 2014 Chardonnay,South Africa,"This leads with clean yet soft scents of ripe apple, Anjoy pear and orange blossom. Those notes carry through to the medium-weight palate, well integrated with soft toasted-oak tones. It's harmonious and balanced, with ample acidity lending good lift through the close. Drink now.",,90,20.0,Western Cape,,,Lauren Buzzeo,@laurbuzz,Chardonnay,Eikendal
211,Famille Perrin 2013 Les Christins Red,France,"This is taut and sinewy in profile, but shows off a fine range of aromas, from thyme and lavender to cocoa, red plum and ripe cherry. The raspberry and herb flavors finish in a storm of firm tannins. Drink 2020–2025.",Les Christins,90,32.0,Rhône Valley,Vacqueyras,,Joe Czerwinski,@JoeCz,Rhône-style Red Blend,Famille Perrin
212,Matarromera 2015 Fermentado en Barrica Verdejo,Spain,"Mellow white-fruit aromas are nonspecific and oaky, but not overly so. This barrel-fermented Verdejo feels plump and chunky, with balancing acidity. Salty melon, apricot and apple flavors end steady and long. For barrel-fermented Verdejo, this is at the top of the pile.",Fermentado en Barrica,90,40.0,Northern Spain,Rueda,,Michael Schachner,@wineschach,Verdejo,Matarromera
213,MCV 2014 1105 Red,US,"This blend of 60% Petite Sirah, 21% Syrah, 7% Grenache, 6% Petit Verdot, 5% Tannat and 1% Viognier is tightly wound but likely to improve with time. Opened now, it offers elderberry, black currant, pencil lead and loam on the nose, with lava rock, crème de cassis and kirsch flavors slowing emerging on the palate.",1105,90,48.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Red Blend,MCV
214,Mounts 2014 Verah Red,US,"This is a big, brawny expression of Grenache, Mourvèdre, Syrah and Counoise, the Grenache playing the dominant role in the blend. It coats the palate in dense raspberry and blueberry fruit, seasoned with pepper and nutmeg. A leathery touch to the texture and lifted acidity keeps it from feeling heavy or overdone.",Verah,90,36.0,California,Dry Creek Valley,Sonoma,Virginie Boone,@vboone,Rhône-style Red Blend,Mounts
215,Or Haganuz 2014 French Blend Red,Israel,"Aromas of blackberry, fennel bulb and smoke set the scene for flavors of cherry, raspberry, chocolate and tobacco leaf. Mellow but ever-apparent tannins ply the palate alongside a strong bolt of acidity that tapers off into a pomegranate-imbued finish.",French Blend,90,80.0,Galilee,,,Mike DeSimone,@worldwineguys,Bordeaux-style Red Blend,Or Haganuz
216,Podere Scopetone 2012  Brunello di Montalcino,Italy,"Black-skinned berry, pipe tobacco and Mediterranean herb aromas waft out of the glass and carry over to the firm linear palate along with morello cherry, licorice and a hint of clove. Taut fine-grained tannins and fresh acidity provide the backbone while orange peel marks the finish. Drink 2019–2025.",,90,57.0,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Sangiovese,Podere Scopetone
217,Quinta de Foz de Arouce 2013 Red,Portugal,"Wood aging gives this ripe blend of Baga and Touriga Nacional its richness and density. It's full of black fruit, toast and a touch of pepper. With ripe tannins and crisp acidity, it can easily age another year. Drink from 2018.",,90,20.0,Beira Atlantico,,,Roger Voss,@vossroger,Portuguese Red,Quinta de Foz de Arouce
218,Robert Mondavi 2015 Fumé Blanc,US,"Pithy, with grapefruit and lemon peel flavors, this wine is deceptively crisp and light on the nose, offering a wealth of body and lushness on the palate, accented with nutmeg and peach. It includes 4% Sémillon, partly from the winery's beloved To Kalon vineyard.",,90,20.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Fumé Blanc,Robert Mondavi
219,Samuel Tinon 2015 Megyer Dry Furmint,Hungary,"From a vineyard in Northern Tokaj this dry Furmint has aromas of citrus pith and freshly cut pineapple. In the mouth, there are delightful flavors of grapefruit juice and white peach before the pleasantly acidic finish.",Megyer Dry,90,36.0,Tokaj,,,Jeff Jenssen,@worldwineguys,Furmint,Samuel Tinon
220,Sixteen by Twenty 2014 Chardonnay,US,"Briny green olive notes underlie a tropically ripe, full-bodied expression of the variety. The wine's apple, pineapple and mango fruit is wrapped in toasted oak and moderate acidity.",,90,40.0,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,Chardonnay,Sixteen by Twenty
221,St. Pauls 2014 Passion Riserva Pinot Bianco,Italy,"This opens with enticing aromas of chamomile flower, white peach and a whiff of Alpine herb. The elegant palate offers McIntosh apple, candied lemon and a vein of energizing mineral. Fresh acidity lends balance.",Passion Riserva,90,40.0,Northeastern Italy,Alto Adige,,Kerin O’Keefe,@kerinokeefe,Pinot Bianco,St. Pauls
222,Talenti 2011 Trentennale,Italy,"Chopped herb, forest floor, leather, espresso and a balsamic note are some of the aromas that waft out of the glass. The powerfully structured palate delivers prune, dried cherry, tobacco, and roasted coffee bean framed in firm fine-grained tannins. Give the tannins a few more years to unwind then drink to capture the fruit richness. Drink 2018–2023.",Trentennale,90,,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Sangiovese,Talenti
223,Terlan 2015 Pinot Bianco,Italy,"Bright and creamy, this savory white offers aromas and flavors of ripe apple, Bartlett pear, Alpine herb and a citrus note. Fresh acidity and a mineral vein energize the finish.",,90,,Northeastern Italy,Alto Adige,,Kerin O’Keefe,@kerinokeefe,Pinot Bianco,Terlan
224,Mendel 2014 Lunta Malbec,Argentina,"Blackberry and road-tar aromas are dark and stout. This is moderately tannic and a bit rough and jagged on the palate. Flavors of stewed black plum and prune are ripe almost to an extreme, and that's how it finishes as well.",Lunta,90,22.0,Mendoza Province,Luján de Cuyo,,Michael Schachner,@wineschach,Malbec,Mendel
225,Oldenburg 2013 Chardonnay,South Africa,"There's a pleasant, toasty seam throughout the nose and mouth of this well-balanced wine, expressed in notes of sweet spice and honeycomb that frame the yellow melon and apple fruit core. It's plush and mouthfilling, but not flabby or overdone, thanks to balancing acidity and an assertive spicy tone that dominates the finish. Drink now.",,90,25.0,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Chardonnay,Oldenburg
226,Oldenburg 2014 Chenin Blanc,South Africa,"This is a round and rich wine, with notes of wood-grilled apple, guava and toasted challah. Smooth and lush in feel, ripe peach and tropical tones drive the palate, while hints of honeysuckle and baking spice unfold on the finish. Ample acidity keeps the wine's weight in check. Drink now.",,90,20.0,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Chenin Blanc,Oldenburg
227,Wagner 2006 Grace House Pinot Noir,US,"The deep ruby color belies this wines cool-climate origins. The nose shows more black fruit aromas than is typical for Pinot Noir. The palate is all Pinot, though, with cherry pie filling flavors made more complex by vanilla from toasty new oak. It finishes with some nice mineral and earth notes. Silky tannins allow for immediate consumption but the wine will gain in complexity after a year or two in the cellar.",Grace House,85,15.0,New York,Finger Lakes,Finger Lakes,,,Pinot Noir,Wagner
228,Treleaven 2006 Semi-Dry Riesling,US,"A thoroughly honest effort, opening with lovely quince, apple and lemon fruit. The palate has a crisp lime edge and finishes with a kick of refreshing acidity. Drink now.",Semi-Dry,85,14.0,New York,Cayuga Lake,Finger Lakes,,,Riesling,Treleaven
229,Benessere 2005 Costa Del Sol Red,US,"Not clear what the varietal blend is, but it's like a nice, easy southern Rhône wine. Soft and fruity, it's rich in jammy blackberry, cherry, Mandarin orange, chocolate and anise spice flavors.",Costa Del Sol,85,18.0,California,Napa Valley,Napa,,,Red Blend,Benessere
230,Bloomer Creek 2006 Gewürztraminer,US,"Orange blossom and flowers lead on this Gewürtz, and on the palate, a citric, lemon edge outweighs the sweet and floral components that would give this wine a prettier edge. Nonetheless, the wine has an attractive, crisp and clean character and will pair well with grilled seafood and poultry.",,85,16.0,New York,Finger Lakes,Finger Lakes,Susan Kostrzewa,@suskostrzewa,Gewürztraminer,Bloomer Creek
231,Andean Sky 2007 Bonarda,Argentina,"Meaty and rubbery, but that's young Bonarda. This is a sound wine with dark berry flavors, raisin and pulsing acidity. Still, there's modest roundness to the palate and length to the finish. Overall, it's tasty, full and borderline raisiny. Drink now.",,85,10.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Bonarda,Andean Sky
232,Angove's 2006 Red Belly Black Shiraz,Australia,Lifted cedar and pine notes interspersed with appealing woodsy scents give way to a surprisingly intense palate that shows some nice peppery notes but ultimately falls short on the finish. Nearly imperceptible tannins suggest early consumption.,Red Belly Black,85,12.0,South Australia,South Australia,,,,Shiraz,Angove's
233,Silvan Ridge 2006 Reserve Pinot Noir,US,"There is an odd, piercing edge to the aromas, a mix of acetic acid and pungent herb, with a hint of diesel. Somehow it's not off-putting, just atypical. The light, tart fruit is a mix of rhubarb and cranberry, very earthy and tasting of dirt and bark in the finish. This could be quite pleasant with a hearty, rustic dish such as beef Bourgogne.",Reserve,85,28.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Pinot Noir,Silvan Ridge
234,Talamonti 2007 Cerasuolo Rosè,Italy,"Neutral and unassuming on first impact, this luminous rosé eventually delivers notes of mineral, ash, stone fruit and small berry. The wine offers more in the mouth, however, where it exhibits fresh flavors of raspberry and blueberry.",Cerasuolo Rosè,85,10.0,Central Italy,Montepulciano d'Abruzzo,,,,Montepulciano,Talamonti
235,Testarossa 2006 Thompson Vineyard Syrah,US,"Overly sweet and simple, and something of a disappointment given the winery's past performance, this Syrah tastes like melted cherry jam, stirred with chocolate pie filling and sprinkled with fennel and pepper.",Thompson Vineyard,85,49.0,California,Santa Barbara County,Central Coast,,,Syrah,Testarossa
236,Meeker 2004 Kiss Ridge Vineyard Cabernet Sauvignon,US,"Shows rich, firm mountain tannins and well-ripened, concentrated flavors of blackberries, cherries, currants and cocoa, and is thoroughly dry. But the wine loses a few points for hot caramelization, which may be partly over-charred oak and partly shriveled, overripe berries, if not both.",Kiss Ridge Vineyard,85,85.0,California,Diamond Mountain District,Napa,,,Cabernet Sauvignon,Meeker
237,Consorzio Vini Tipici di San Marino NV Moscato,Italy,"The wine boasts a beautiful appearance thanks to its saturated golden color and faint amber highlights. It has a very fragrant nose and offers honey, peach and soapy floral notes. In the mouth, the wine delivers sweet fruit and a soft, silky texture.",,85,18.0,Central Italy,San Marino,,,,Moscato,Consorzio Vini Tipici di San Marino
238,D'Arenberg 2006 The Derelict Vineyard Grenache,Australia,"The sort of wine one imagines early Australian settlers gulped down—big and burly in the mouth and a bit warm, rough and dusty on the finish. Hints of mint-accented cherry fruit and earthy notes.",The Derelict Vineyard,85,29.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,Grenache,D'Arenberg
239,Dogwood 2005 Cabernet Sauvignon,US,"A little rough and rugged, with jangly tannins and blackberry fruit so ripe it veers into raisins. Very dry, it's probably at its best now.",,85,36.0,California,Mendocino,,,,Cabernet Sauvignon,Dogwood
240,Domaine du Tariquet 2007 Ugni Blanc-Colombard,France,"Dominated by Ugni Blanc, the grape also used in the local Armagnac brandy, this is a tight, crisp wine, green but not unpleasantly so. Its acidity comes from fresh apple flavors, touched with some good juiciness and a fine refreshing finish. Screwcap.",,85,9.0,Southwest France,Vin de Pays des Côtes de Gascogne,,Roger Voss,@vossroger,Ugni Blanc-Colombard,Domaine du Tariquet
241,Falcor 2005 Sangiovese,US,"Sweetly rich in cherry, red currant and chocolate flavors, with a peppery edge, this Sangiovese is soft in structure. The bright acidity can cut through tomato sauce with cheese.",,85,34.0,California,Napa Valley,Napa,,,Sangiovese,Falcor
242,Hayman & Hill 2007 Reserve Selection Chardonnay,US,"Made in the modern California style, with very ripe, rather sweet pineapple jam, green apple butter and smoky oak flavors that are wrapped into a creamy texture.",Reserve Selection,85,15.0,California,Russian River Valley,Sonoma,,,Chardonnay,Hayman & Hill
243,Hermann J. Wiemer 2002 Blanc de Blanc Chardonnay,US,"This sparkling wine starts with a toasty but soft nose, leading into clean but fruity flavors and a refreshing finish. Though an earlier release might have allowed more primary fruit to show through, the wine offers easygoing but elegant enjoyment.",Blanc de Blanc,85,30.0,New York,Finger Lakes,Finger Lakes,,,Chardonnay,Hermann J. Wiemer
244,J. & F. Lurton 2007 Herederos de François Lurton Villafrance de Duero Red,Spain,"Simple but well-maded wine with aromas of chewing gum, cherry and blackberry. It's a plump, sort of grabby red with sweet raspberry and chocolate flavors followed by a creamy, soft finish. Not much complexity but good fruit and depth. Not the least bit hard to drink. Good mass wine.",Herederos de François Lurton Villafrance de Duero,85,13.0,Northern Spain,Vino de la Tierra de Castilla y León,,Michael Schachner,@wineschach,Red Blend,J. & F. Lurton
245,Finca Las Moras 2007 Reserve Chardonnay,Argentina,"Not exactly a world-class white wine but at least it smells and tastes like Chardonnay. The nose offers some butter and lemon curd, while the palate is jumpy and tastes like a mix of pear, apple and spice. A fresh, young wine that should be drunk soon.",Reserve,85,12.0,Other,San Juan,,Michael Schachner,@wineschach,Chardonnay,Finca Las Moras
246,Long Flat 2006 Destinations Sauvignon Blanc,Australia,"Juicy and well balanced, this is an admirable effort at the price. Boxwood, grapefruit, lemon and quince notes make for a sophisticated first impression. The palate is straightforward citrus while gooseberry notes pop up on the dry finish. Drink now.",Destinations,85,15.0,South Australia,Adelaide Hills,,,,Sauvignon Blanc,Long Flat
247,Work 2004 Reserve Merlot,US,"Tasty, with pie-filling cherries, blackberries and currants accented with smoky oak, but a little on the soft side. Fully developed, so drink now.",Reserve,85,25.0,California,Sonoma Mountain,Sonoma,,,Merlot,Work
248,Amity 2006 Estate Single Vineyard Pinot Noir,US,"This seems as if it was assembled from lesser barrels. It's pleasant, very light, simple and tart; the dominant flavor is cranberry juice.",Estate Single Vineyard,85,45.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Pinot Noir,Amity
249,Autumn Hill 2007 Petit Verdot-Merlot Red,US,"Cherry pie-filling and boysenberry notes open this impressive blend of Merlot and Petit Verdot. Abundant but velvety tannins give a lift to blueberry and   chocolate tones in the mouth, while the slightly grippy finish shows appealing mixed berry flavors.",Petit Verdot-Merlot,85,18.0,Virginia,Monticello,,,,Bordeaux-style Red Blend,Autumn Hill
250,Blue Rock 2005 Estate Cabernet Sauvignon,US,"Ripe, soft and a little sweet, with jellied flavors of blackberries, cherries, chocolate and anise. Drink now.",Estate,85,49.0,California,Alexander Valley,Sonoma,,,Cabernet Sauvignon,Blue Rock
251,Cherry Hill 2006 Papillon Estate Pinot Noir,US,"Spicy and tannic, this inexpensive Pinot from Cherry Hill opens with earthy fruit and leaf flavors—tomato and herb dominate, with just a suggestion of berry. There isn't much in the way of ripeness here, to either fruit or tannins.",Papillon Estate,85,22.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Pinot Noir,Cherry Hill
252,Cloud 9 2006 Seity Zinfandel,US,"Shows the briary, brambly character of Foothills Zin, with an array of wild berry, tobacco, mocha and Asian spice flavors wrapped into finely ground tannins. But the wine is too sweet and candied in the finish. Drink now.",Seity,85,35.0,California,Amador County,Sierra Foothills,,,Zinfandel,Cloud 9
253,Cueva de las Manos 2007 Reserve Malbec,Argentina,"Huge in color and extract, but also a little childish. The nose has gumball, berry jam and a touch of volatility, but after things settle it rests on bold black fruit. It's not overly rich or sweet, and the feel is sort of sinewy. Seems more about size and color than refinement and polish.",Reserve,85,15.0,Mendoza Province,Luján de Cuyo,,Michael Schachner,@wineschach,Malbec,Cueva de las Manos
254,David Fulton 2008 Petite Sirah,US,"The winery has a good track record with this bottling, which shows how well Petite Sirah does in the warmer St. Helena appellation of Napa Valley. This '08 is dryish to moderately sweet in jammy blackberries and blueberries, with a smoked meat, bacon edge. But it's also firmly tannic, which provides a framework for the sweetness.",,89,45.0,California,St. Helena,Napa,,,Petite Sirah,David Fulton
255,Esterlina 2009 Reserva Pinot Noir,US,"Esterlina's Pinot is very perfumey, light in body and soul at first, as it gathers steam with a tasty backbone of lush red fruit, spice and plenty of staying power over a meal.",Reserva,89,55.0,California,Cole Ranch,,Virginie Boone,@vboone,Pinot Noir,Esterlina
256,Goats do Roam Wine Co. 2008 Goat-Roti Syrah-Viognier,South Africa,"A good value, this is an easy-pleasing Syrah with vibrant notes of red plum, cherry and blueberry. Fine, dusty tannins reminiscent of cocoa powder and dried crushed berries stay after swallow alongside a hint of sweet smoke flavor.",Goat-Roti,89,20.0,Coastal Region,,,Lauren Buzzeo,@laurbuzz,Syrah-Viognier,Goats do Roam Wine Co.
257,Graham Beck 2007 The William Red,South Africa,"This approachable Cabernet-based blend, which also has 18% Pinotage, 11% Cab Franc and 2% Shiraz, is a spicy and balanced red with notes of menthol, purple florals, black cherry and berry. With a mouthfeel like crushed velvet, a black pepper finish and an attractive price tag, it's a shame only 100 cases were produced.",The William,89,18.0,Coastal Region,,,Lauren Buzzeo,@laurbuzz,Red Blend,Graham Beck
